No.,Nama,Alamat,Negeri,Daerah,No. Tel,Fax
3137,MASJID TUAN HAJI MOHD DESA,"14000 BUKIT MINYAK, BUKIT MERTAJAM",PULAU PINANG,SEBERANG PERAI TENGAH,,
3138,"MASJID JAMEK AR-RAHMAN, BUKIT TEH","14020 BUKIT MERTAJAM, SEBERANG PERAI TENGAH",PULAU PINANG,SEBERANG PERAI TENGAH,,
3139,"MASJID JAMEK AN-NUR, GUAR PERAHU","14010 BUKIT MERTAJAM, SEBERANG PERAI TENGAH",PULAU PINANG,SEBERANG PERAI TENGAH,,
3140,MASJID HAJI SAAD,"14000 TANAH LIAT, BUKIT MERTAJAM, SEBERANG PERAI TENGAH",PULAU PINANG,SEBERANG PERAI TENGAH,,
3141,MASJID HUTAN NIBONG/ PERMATANG NIBONG,"13500 JALAN PERMATANG NIBONG, SEBERANG PERAI TENGAH",PULAU PINANG,SEBERANG PERAI TENGAH,,
3142,MASJID JALAN BAHARU PERAI,"14700 PERAI, BUKIT MERTAJAM, SEBERANG PERAI TENGAH",PULAU PINANG,SEBERANG PERAI TENGAH,,
3143,MASJID KAMPONG BAHARU ALMA,"14000 ALMA, BUKIT MERTAJAM, SEBERANG PERAI TENGAH",PULAU PINANG,SEBERANG PERAI TENGAH,,
3144,MASJID KAMPUNG PELET,"14010 BUKIT MERTAJAM, SEBERANG PERAI TENGAH",PULAU PINANG,SEBERANG PERAI TENGAH,,
3145,MASJID KAMPONG PERTAMA BATU,"13500 BUKIT MERTAJAM, SEBERANG PERAI TENGAH",PULAU PINANG,SEBERANG PERAI TENGAH,,
3146,MASJID KAMPONG PERTAMA PAPAN,"13500 BUKIT MERTAJAM, SEBERANG PERAI TENGAH",PULAU PINANG,SEBERANG PERAI TENGAH,,
3147,MASJID KAMPUNG SEKOLAH JURU,"14100 BUKIT MERTAJAM, SEBERANG PERAI TENGAH",PULAU PINANG,SEBERANG PERAI TENGAH,,
3148,MASJID KAMPONG SETOL,"13700 PERAI, BUKIT MERTAJAM, SEBERANG PERAI TENGAH",PULAU PINANG,SEBERANG PERAI TENGAH,,
3149,MASJID KEBUN SIREH,"14000 BUKIT MERTAJAM, SEBERANG PERAI TENGAH",PULAU PINANG,SEBERANG PERAI TENGAH,,
3150,MASJID KUALA JURU,"14100 BUKIT MERTAJAM, SEBERANG PERAI TENGAH",PULAU PINANG,SEBERANG PERAI TENGAH,,
3151,MASJID KUALA MENGKUANG,"14000 BUKIT MERTAJAM, SEBERANG PERAI TENGAH",PULAU PINANG,SEBERANG PERAI TENGAH,,
3152,MASJID KUALA TASEK,"14000 BUKIT MERTAJAM, SEBERANG PERAI TENGAH",PULAU PINANG,SEBERANG PERAI TENGAH,,
3153,MASJID KUBANG ULU,"14000 BUKIT MERTAJAM, SEBERANG PERAI TENGAH",PULAU PINANG,SEBERANG PERAI TENGAH,,
3154,MASJID KUBANG SEMANG,"14000 BUKIT MERTAJAM, SEBERANG PERAI TENGAH",PULAU PINANG,SEBERANG PERAI TENGAH,,
3155,MASJID MACANG BUBUK,"14020 BUKIT MERTAJAM, SEBERANG PERAI TENGAH",PULAU PINANG,SEBERANG PERAI TENGAH,,
3156,MASJID MENGKUANG,"14000 BUKIT MERTAJAM, SEBERANG PERAI TENGAH",PULAU PINANG,SEBERANG PERAI TENGAH,,
3157,MASJID PADANG IBU,"14010 BUKIT MERTAJAM, SEBERANG PERAI TENGAH",PULAU PINANG,SEBERANG PERAI TENGAH,,
3158,MASJID PADANG LALANG ( BM ),"14000 BUKIT MERTAJAM, SEBERANG PERAI TENGAH",PULAU PINANG,SEBERANG PERAI TENGAH,,
3159,MASJID PERAI,"13600 PERAI, BUKIT MERTAJAM, SEBERANG PERAI TENGAH",PULAU PINANG,SEBERANG PERAI TENGAH,,
3160,MASJID PERMATANG BATU,"14000 SIMPANG EMPAT, KAMPONG BARU, SEBERANG PERAI TENGAH",PULAU PINANG,SEBERANG PERAI TENGAH,,
3161,MASJID PERMATANG JANGGUS ( BM ),"14000 BUKIT MERTAJAM, SEBERANG PERAI TENGAH",PULAU PINANG,SEBERANG PERAI TENGAH,,
3162,MASJID PERMATANG PAUH,"13500 BUKIT MERTAJAM, SEBERANG PERAI TENGAH",PULAU PINANG,SEBERANG PERAI TENGAH,,
3163,MASJID PERMATANG PASIR ( BM ),"13500 PERMATANG PAUH, BUKIT MERTAJAM",PULAU PINANG,SEBERANG PERAI TENGAH,,
3164,MASJID SAMA GAGAH,"13500 PERMATANG PAUH, BUKIT MERTAJAM",PULAU PINANG,SEBERANG PERAI TENGAH,,
3165,MASJID SEBERANG JAYA,"14000 BUKIT MERTAJAM, SEBERANG PERAI TENGAH",PULAU PINANG,SEBERANG PERAI TENGAH,,
3166,MASJID SUNGAI RAMBAI,"14000 BUKIT MERTAJAM, SEBERANG PERAI TENGAH",PULAU PINANG,SEBERANG PERAI TENGAH,,
3167,MASJID TAMAN GUAR PERAHU,"14400 BUKIT MERTAJAM, SEBERANG PERAI TENGAH",PULAU PINANG,SEBERANG PERAI TENGAH,,
3168,MASJID TASEK JUNJUNG,"14120 SIMPANG EMPAT, BUKIT MERTAJAM",PULAU PINANG,SEBERANG PERAI TENGAH,,
3169,MASJID TENGAH BERAPIT,"14000 JALAN BERAPIT, BUKIT MERTAJAM",PULAU PINANG,SEBERANG PERAI TENGAH,,
3170,MASJID TIMAH,"13500 BUKIT MERTAJAM, SEBERANG PERAI TENGAH",PULAU PINANG,SEBERANG PERAI TENGAH,,
3171,MASJID TOKUN ATAS,"14000 BUKIT MERTAJAM, SEBERANG PERAI TENGAH",PULAU PINANG,SEBERANG PERAI TENGAH,,
3172,MASJID TOKUN BAWAH,"14000 BUKIT MERTAJAM, SEBERANG PERAI TENGAH",PULAU PINANG,SEBERANG PERAI TENGAH,,
3173,MASJID TUAN ABDULLAH,"14000 TANAH LIAT, BUKIT MERTAJAM, SEBERANG PERAI TENGAH",PULAU PINANG,SEBERANG PERAI TENGAH,,
3174,MASJID KAWASAN SEMBILANG,"13600 PERAI, BUKIT MERTAJAM, SEBERANG PERAI TENGAH",PULAU PINANG,SEBERANG PERAI TENGAH,,
3175,MASJID PENGKALAN TAMBANG,"13500 PERMATANG APUH, SEBERANG PERAI TENGAH",PULAU PINANG,SEBERANG PERAI TENGAH,,
3176,MASJID ALMA JAYA,"14000 ALMA, BUKIT MERTAJAM, SEBERANG PERAI TENGAH",PULAU PINANG,SEBERANG PERAI TENGAH,,
3177,MASJID MUKIM TOK PULAI CHONDONG,"DAERAH PULAI CONDONG, 16600 MACHANG, KELANTAN.",KELANTAN,MACHANG,,
3178,MASJID MUKIM BAGAN,"DAERAH PULAI CHONDONG, 16600 MACHANG, KALANTAN.",KELANTAN,MACHANG,,
3179,MASJID MUKIM PAUH LIMA,"DAERAH PULAI CHONDONG, 18500 MACHANG, KELANTAN.",KELANTAN,MACHANG,,
3180,MASJID MUKIM LAHA,"DAERAH PULAI CHONDONG, 16600 MACHANG, KELANTAN.",KELANTAN,MACHANG,,
3181,MASJID MUKIM LABOK,"DAERAH LABOK, 18500 MACHANG, KELANTAN.",KELANTAN,MACHANG,,
3182,MASJID MUKIM JOH,"DAERAH LABOK, 18500 MACHANG, KELANTAN.",KELANTAN,MACHANG,,
3183,MASJID MUKIM DEWAN,"DAERAH LABOK, 18500 MACHANG, KELANTAN.",KELANTAN,MACHANG,,
3184,MASJID MUKIM TOK BOK,"DAERAH LABOK, 18500 MACHANG, KELANTAN.",KELANTAN,MACHANG,,
3185,MASJID AR RAHMAH MANGGOL BONGOR,MUKIM PUTAT 06000 JITRA KEDAH,KEDAH,KUBANG PASU,,
3186,MASJID MEGAT DEWA (JAME' ASSALAM),"MUKIM AH,06100 JITRA KEDAH",KEDAH,KUBANG PASU,,
3187,MASJID MELELE (AR RAHMAH),MUKIM AH 06100 JITRA KEDAH,KEDAH,KUBANG PASU,,
3188,MASJID AS SIRAJIAH KODIANG LAMA,MUKIM KEPLU 06100 JITRA KEDAH,KEDAH,KUBANG PASU,,
3189,MASJID AL EHSAN TITI SELANGOR,MUKIM KEPLU 06000 JITRA KEDAH,KEDAH,KUBANG PASU,,
3190,MASJID KODIANG,MUKIM KEPLU 06000 JITRA KEDAH,KEDAH,KUBANG PASU,,
3191,MASJID AR RIDWANIAH BATU 4 CHANGLUN,MUKIM KEPLU 06000 JITRA KEDAH,KEDAH,KUBANG PASU,,
3192,MASJID AD-DIN,"KG. PULAU PISANG, 31700 MALIM NAWAR, PERAK.",PERAK,KAMPAR,010-3862826,
3193,MASJID MUHIBBUDDIN SHAH,"JALAN RAJA ASHMAN SHAH, 30450 IPOH, PERAK",PERAK,IPOH,1110715217,
3194,MASJID AL RAMLIAH,"KAMPUNG LASAH, SG. SIPUT (U) PERAK",PERAK,KUALA KANGSAR,192335507,tiada
3195,MASJID SAKONG KECIL,"KG. SAKONG KECIL, PETI SURAT NO.172",SABAH,TAW - SEMPORNA,089-784051,089-784052
3196,MASJID AL ABRAR KAMPUNG SANGLANG,MUKIM SANGLANG 06100 JITRA KEDAH,KEDAH,KUBANG PASU,,
3197,"MASJID AL-MUNAWARAH, JLN CIKU",TAMAN KOTA MASAI,JOHOR,JOHOR BAHRU,,
3198,MASJID LAPIS BERONG,"MUKIM 11, 83200 BATU PAHAT",JOHOR,BATU PAHAT,,
3199,MASJID TUN KHALIL ASAHAN,"KM 49.6, KAMPUNG ASAHAN,77100 JASIN MELAKA",MELAKA,JASIN,,
3200,"MASJID KAMPUNG PENGALAT BESAR, PAPAR","D/A PEJABAT JHEAINS PAPAR, TINGKAT 1, BANGUNAN URUSETIA PEJABAT DAERAH PAPAR 89600 PAPAR.",SABAH,PBS - PAPAR,088-912971,088-912971
3201,MASJID PARIT GANTONG,"MUKIM 18, 83100 BATU PAHAT.",JOHOR,BATU PAHAT,,
3202,MASJID KG. AIR PUTIH,"MUKIM 18, 83400 BATU PAHAT",JOHOR,BATU PAHAT,,
3203,MASJID PARIT LAPIS BANGAS,"MUKIM 18, 83400 BATU PAHAT",JOHOR,BATU PAHAT,,
3204,MASJID PARIT LAPIS SIMIS,"MUKIM 18, 83400 SRI MEDAN, BATU PAHAT.",JOHOR,BATU PAHAT,,
3205,MASJID AL-BUKHARI,KG MENSUDUT LAMA BATU ANAM 85100 SEGAMAT,JOHOR,SEGAMAT,07-9363168,
3206,MASJID AL - ANSAR,KG MENSUDUT PINDAH BATU ANAM 85100 SEGAMAT,JOHOR,SEGAMAT,07-9498740,
3207,MASJID IMAM ZABIDI,KAMPUNG AWAT BATU ANAM 85100 SEGAMAT,JOHOR,SEGAMAT,017-6334572,
3208,MASJID TEBING TINGGI,KAMPUNG TEBING TINGGI 85200 JEMENTAH SEGAMAT,JOHOR,SEGAMAT,07-9473313,
3209,MASJID JAMEK AL-ISLAH,"JLN HJ MANAN, 86000 KLUANG",JOHOR,KLUANG,,
3210,MASJID KG. BELAHAN TAMPOK,"MUKIM 12, 83100 BATU PAHAT",JOHOR,BATU PAHAT,,
3211,MASJID AL-JAWAHER,LADANG WELCH 85200 JEMENTAH SEGAMAT,JOHOR,SEGAMAT,012-7362127,
3212,MASJID LADANG MATANG,KG SENGKANG LEGEH 85200 JEMENTAH SEGAMAT,JOHOR,SEGAMAT,07-9475855,
3213,MASJID BULOH KASAP,195 JLN IBRAHIM BULOH KASAP 85010 SEGAMAT,JOHOR,SEGAMAT,017-7151577,
3214,MASJID SAIDINA OMAR,"KG. KUALA PAYA, BULOH KASAP, 85010 SEGAMAT.",JOHOR,SEGAMAT,07-9442321,
3215,MASJID AS-SOLIHIN,KAMPUNG SEPINANG BULOH KASAP 85010 SEGAMAT,JOHOR,SEGAMAT,07-9232772,
3216,MASJID AL-FAIZIN,LADANG KEMEDAK 85009 SEGAMAT,JOHOR,SEGAMAT,019-7890042,
3217,MASJID KAMPUNG SERMIN,KAMPUNG SERMIN 85000 SEGAMAT,JOHOR,SEGAMAT,07-9313120,
3218,MASJID KAMPUNG GELANG CINCIN,KAMPUNG GELANG CINCIN 85000 SEGAMAT,JOHOR,SEGAMAT,016-7949169,
3219,MASJID AT-TAWAKKAL,LADANG MADOS SERMIN 85000 SEGAMAT,JOHOR,SEGAMAT,07-9361058,
3220,MASJID NURUL YAKIN,FELDA PEMANIS I 85000 SEGAMAT.,JOHOR,SEGAMAT,07-9457226,
3221,MASJID PARIT MAHANG,"MUKIM 10, SENGGARANG 83200 BATU PAHAT",JOHOR,BATU PAHAT,,
3222,MASJID PARIT KEMANG,"MUKIM 10, SENGGARANG 83200 BATU PAHAT",JOHOR,BATU PAHAT,,
3223,"MSJ AL-KURAUWI,","MSJ AL-KURAUWI JALAN BESAR, BATU 15 BATU KURAU, PERAK",PERAK,TAIPING / LARUT MATANG,05-8880515,
3224,MASJID KAMPUNG GEMEREH,KM 3 JALAN MUAR KG GEMEREH 85000 SEGAMAT,JOHOR,SEGAMAT,012-7222184,
3225,MASJID GUDANG GARAM,KG GUDANG GARAM 85000 SEGAMAT,JOHOR,SEGAMAT,07-9327867,
3226,MASJID JAMEK AR RAHMAH PADANG PERAHU,KG IMAM MK PADANG PERAHU,KEDAH,KUBANG PASU,,
3227,MASJID PAYA PULAI,574 JLN MASJID KG PAYA PULAI 85000 SEGAMAT,JOHOR,SEGAMAT,012-7700706,
3228,MASJID KG. PT. KASSAN,"KG. PT. KASSAN, BUKIT GAMBIR 84800 LEDANG",JOHOR,TANGKAK,,
3229,MASJID KG. JAMBI DARAT,"MUKIM 12, 83100 BATU PAHAT",JOHOR,BATU PAHAT,,
3230,"MASJID TEMENGGONG DAING ABD RAHMAN, BENUT","JALAN PARIT HJ ABD RAHMAN,",JOHOR,PONTIAN,137013307,
3231,PEKAN BEKOK,"JALAN BESAR BEKOK 86500 BEKOK, SEGAMAT.",JOHOR,SEGAMAT,07-9221076,
3232,PANCHA JAYA,"KAMPUNG PANCA JAYA 86500 BEKOK, SEGAMAT.",JOHOR,SEGAMAT,07-9221076,
3233,LADANG ELDRED,"LADANG ELDRED 86500 BEKOK, SEGAMAT.",JOHOR,SEGAMAT,019-7480794,
3234,MASJID DESA TEMU JODOH,67 JLN CEMPAKA DESA TEMU JODOH 85400 CHAAH,JOHOR,SEGAMAT,019-2186929,
3235,MASJID CHAAH,NO 4 KAMPUNG JAWA 85400 CHAAH,JOHOR,SEGAMAT,07-9265252,
3236,MASJID TENANG STESYEN,PEKAN TENANG STESYEN 85300 LABIS SEGAMAT,JOHOR,SEGAMAT,07-9279079,
3237,MASJID Felda CHEMPLAK BARAT,FELDA CHEMPLAK BARAT 85300 LABIS SEGAMAT.,JOHOR,SEGAMAT,07-9236800,
3238,MASJID PEKAN AIR PANAS,KAMPUNG AIR PANAS 85300 LABIS SEGAMAT.,JOHOR,SEGAMAT,07-9287032,
3239,MASJID JAMEK RISDA SG. CHALES,"PETI SURAT NO.3, KAHANG, KLUANG",JOHOR,KLUANG,,
3240,MASJID SAWAH BARU,KG. SAWAH BARU 85300 LABIS SEGAMAT.,JOHOR,SEGAMAT,137060226,
3241,MASJID AN-NUR SIMPANG LIMA PEKAN,"SMPG LIMA PEKAN, BUKIT GAMBIR 84800 TANGKAK",JOHOR,TANGKAK,,
3242,MASJID BANDAR LABIS,JALAN BESAR PEKAN LABIS85300 LABIS,JOHOR,SEGAMAT,013-7386123,
3243,"MASJID KG BATU 38,","JALAN KERETAPI , ALOR PONGSU, 34300 BAGAN SERAI, PERAK",PERAK,BAGAN SERAI,016 592 3041,
3244,MASJID JAMEK KG. MELAYU,"JALAN PENGHULU KASSIM, 86000 KLUANG.",JOHOR,KLUANG,,
3245,"MASJID JAMEK CHANGKAT LOBAK,",34300 BAGAN SERAI PERAK,PERAK,BAGAN SERAI,016-4220848,
3246,MASJID AR-RAHMANIAH,"PARIT 9/6R, LABU KUBONG 36600 CHENDERONG BALAI",PERAK,TELUK INTAN,019 5060450,
3247,MASJID JAMEK TAMAN KASIH,"KM 4 KG BARU, JLN MERSING",JOHOR,KLUANG,,
3248,MASJID JAMEK LADANG PAMOL,"JALAN MERSING, 86000 KLUANG.",JOHOR,KLUANG,,
3249,MASJID LAPIS SERI DALAM,"MUKIM 10, SENGGARANG 83200 BATU PAHAT",JOHOR,BATU PAHAT,,
3250,MASJID JAMEK BANDAR PALOH,KM 0.5 JALAN YONG PENG,JOHOR,KLUANG,,
3251,MASJID JAMEK LADANG LANDAK,KB 108 86609 PALOH,JOHOR,KLUANG,,
3252,MASJID JAMEK KG MELAYU NYIOR,86600 KLUANG.,JOHOR,KLUANG,,
3253,MASJID JAMEK KG. MELAYU CHAMEK,86600 KLUANG.,JOHOR,KLUANG,,
3254,"MASJID JAMEK TEBUK PANCHUR,","34400 SIMPANG EMPAT SEMANGGOL, PERAK.",PERAK,BAGAN SERAI,,
3255,MASJID JAMEK AL-ISTIQAMAH,"LADANG TEREH SELATAN, 86600 KLUANG.",JOHOR,KLUANG,,
3256,MASJID JAMEK KG. PARIT HASAN,86200 KLUANG.,JOHOR,KLUANG,,
3257,MASJID AL-ATHAR,"MASJID TINGGI 34300 BAGAN SERAI, PERAK.",PERAK,BAGAN SERAI,019 4504490,
3258,MASJID JAMEK FELDA TROLAK SELATAN,"FELDA TROLAK SELATAN 35600 SUNGKAI,PERAK",PERAK,TAPAH,194369640,
3259,MASJID JAMEK BAITU MUTAQQIN,JALAN MASJID KAMPUNG PAYA,JOHOR,KLUANG,,
3260,MASJID JAMEK NURUL IMAN,"KG. JAYA SEPAKAT, 81850 KLUANG.",JOHOR,KLUANG,,
3261,MASJID AR RIDZUAN,"KAMPUNG SELAMAT, JALAN KERIAN 34400 SIMPANG EMPAT SEMANGGOL PERAK",PERAK,BAGAN SERAI,125142260,
3262,MASJID PARIT JAYOS,"PT JAYOS BUKIT, MUKIM 18, 83400 BATU PAHAT",JOHOR,BATU PAHAT,,
3263,MASJID JAMEK LADANG PEKAN,LADANG PEKAN 81850 LAYANG-LAYANG KLUANG.,JOHOR,KLUANG,,
3264,MASJID PULAU AUR,"PULAU AUR, 86800 MERSING",JOHOR,MERSING,,
3265,MASJID PARIT PULAI,"MUKIM 18, 83400 BATU PAHAT",JOHOR,BATU PAHAT,,
3266,MASJID NURUL JANNAH,"KAMPONG SUNGAI PEROTAN 34400 SIMPANG EMPAT SEMANGGOL, PERAK.",PERAK,BAGAN SERAI,017 5026218,
3267,MASJID BUKIT MERAH,34300 BAGAN SERAI PERAK.,PERAK,BAGAN SERAI,012-439226,
3268,MASJID AL-HUDA,"TEBUK MATAU 34400 SIMPANG EMPAT SEMANGGOL, PERAK",PERAK,BAGAN SERAI,175614031,
3269,MASJID JAMEK AN-NAIM,"FELDA ULU BELITONG, 86000 KLUANG.",JOHOR,KLUANG,,
3270,MASJID SERI MAKMOR,KG. SERI MAKMOR 84900 TANGKAK LEDANG,JOHOR,TANGKAK,,
3271,MASJID JAMEK FELDA ULU PENGELI,86000 KLUANG.,JOHOR,KLUANG,,
3272,MASJID SAIDINA UMAR IBNU AL KHATAB,"2145, FELDA GUNUNG BESOUT 02, 35600 SUNGKAI PERAK",PERAK,TAPAH,013-5831121,
3273,"MASJID JAMEK AL HIDAYAH,","KG. BATU 6, 86200 SIMPANG RENGAM, KLUANG.",JOHOR,KLUANG,,
3274,MASJID AL-RIDZWAN,"KG. TELOK MEDAN 34300 BAGAN SERAI, PERAK",PERAK,BAGAN SERAI,012 4617978,
3275,MASJID PARIT TERUS,"JALAN PARIT ISMAIL, BENUT",JOHOR,PONTIAN,76988229,
3276,MASJID KAMPUNG PARIT MADIRONO,"KAMPUNG PARIT MADIRONO,BENUT",JOHOR,PONTIAN,127632907,
3277,"MASJID AL-MASYHUR, KAMPUNG PARIT MANSOR","KAMPUNG PARIT MANSOR,BENUT",JOHOR,PONTIAN,137553366,
3278,MASJID KAMPUNG SUNGAI BESAR,"KAMPUNG SUNGAI BESAR,BENUT",JOHOR,PONTIAN,,
3279,MASJID KAMPUNG PARIT KERIMON,"KAMPUNG PARIT KERIMON,BENUT",JOHOR,PONTIAN,,
3280,MASJID KAMPUNG PERMATANG DUKU,"KAMPUNG PERMATANG DUKU,BENUT",JOHOR,PONTIAN,,
3281,MASJID LUBOK SIPAT,"KAMPUNG LUBOK SIPAT,BENUT",JOHOR,PONTIAN,,
3282,"MASJID AL-ABRAR, KAMPUNG PARIT ARCHONG","KAMPUNG PARIT ARCHONG,BENUT",JOHOR,PONTIAN,,
3283,MASJID PARIT HAJI ARIFF,"KAMPUNG PARIT HAJI ARIFF,BENUT",JOHOR,PONTIAN,,
3284,MASJID PERMATANG SEPAM,"KAMPUNG PERMATANG SEPAM,BENUT",JOHOR,PONTIAN,,
3285,"MASJID NURUL IMAN, KAMPUNG PARIT BETAK","KAMPUNG PARIT BETAK,BENUT",JOHOR,PONTIAN,,
3286,MASJID KAMPUNG PARIT SEROM,"KAMPUNG PARIT SEROM,BENUT",JOHOR,PONTIAN,,
3287,MASJID PEKAN TAMPOK,"PEKAN TAMPOK,BENUT",JOHOR,PONTIAN,,
3288,MASJID KAMPUNG PERMATANG PALAS,"KAMPUNG PERMATANG PALAS,BENUT",JOHOR,PONTIAN,,
3289,MASJID PEKAN PARIT TENGAH,"BATU 13 3/4,JALAN PARIT IBRAHIM,BENUT",JOHOR,PONTIAN,,
3290,MASJID PARIT MARJUNIT,"KAMPUNG PARIT MARJUNIT,BENUT",JOHOR,PONTIAN,,
3291,"MASJID AL-IHSAN, KAMPUNG PUTERI MENANGIS","KAMPUNG PUTERI MENANGIS,BENUT",JOHOR,PONTIAN,,
3292,"MASJID BAITUL RIDWAN, KAMPUNG PARIT WAGIMAN","KAMPUNG PARIT WAGIMAN,BENUT",JOHOR,PONTIAN,,
3293,"MASJID NURUL AS'AD, KAMPUNG PARIT MASTAR","KAMPUNG PARIT MASTAR,BENUT",JOHOR,PONTIAN,,
3294,MASJID PARIT HJ YASSIN,"KAMPUNG PARIT HAJI YASSIN,BENUT",JOHOR,PONTIAN,,
3295,MASJID KAMPUNG PARIT HAJI ABD KARIM,"KAMPUNG PARIT HAJI ABD KARIM,AYER BALOI",JOHOR,PONTIAN,,
3296,MASJID PARIT MOHAYAT,"KAMPUNG PARIT MOHAYAT,AYER BALOI",JOHOR,PONTIAN,,
3297,"MASJID AL-FALAH, KAMPUNG PARIT JELUTONG DARAT","KAMPUNG PARIT JELUTONG DARAT,AYER BALOI",JOHOR,PONTIAN,,
3298,MASJID KAMPUNG PARIT PANJANG,"KAMPUNG PARIT PANJANG,AYER BALOI",JOHOR,PONTIAN,,
3299,"MASJID AT-TAQWA, KAMPUNG PARIT MAKLUMI","KAMPUNG PARIT MAKLUMI,AYER BALOI",JOHOR,PONTIAN,,
3300,MASJID SENGGARANG,"MUKIM 9, 83200 BATU PAHAT",JOHOR,BATU PAHAT,,
3301,MASJID PARIT KAHAR,"KAMPUNG PARIT KAHAR,AYER BALOI",JOHOR,PONTIAN,,
3302,MASJID PARIT HJ TALIB,"MUKIM 7, 86400 BATU PAHAT",JOHOR,BATU PAHAT,,
3303,MASJID DARUL FALAH,"KAMPUNG SUNGAI ARA, 34520 BATU KURAU, PERAK.",PERAK,TAIPING / LARUT MATANG,019-4797943,
3304,MASJID KAMPUNG PARIT SANIMAN,"KAMPUNG PARIT SANIMAN,AYER BALOI",JOHOR,PONTIAN,,
3305,"MASJID AL-RAHMAN, PARIT SERONG","SANGLANG,AYER BALOI",JOHOR,PONTIAN,,
3306,MASJID NURUL HIDAYAH PEKAN BONGAWAN PAPAR,"D/A PEJABAT JHEAINS PAPAR , TINGKAT 1, BANGUNAN URUSETIA PEJABAT DAERAH PAPAR,89608 PAPAR",SABAH,PBS - PAPAR,088-912971,088-912971
3307,"MASJID NUR HIDAYAH, PARIT MUHAMMAD","SANGLANG,AYER BALOI",JOHOR,PONTIAN,,
3308,MASJID PARIT GANTONG,"KAMPUNG PARIT GANTONG,AYER BALOI",JOHOR,PONTIAN,,
3309,MASJID PEKAN SANGLANG,"PEKAN SANGLANG,AYER BALOI",JOHOR,PONTIAN,,
3310,MASJID PARIT SATU SANGLANG,KAMPUNG PARIT SATU SANGLANG,JOHOR,PONTIAN,,
3311,MASJID MUKIM AYER BALOI,"PEKAN AYER BALOI,AYER BALOI",JOHOR,PONTIAN,,
3312,MASJID RIYAD HUSSOLEHIN PINTAS PUDING,"MUKIM 8, 86400 BATU PAHAT",JOHOR,BATU PAHAT,,
3313,"MASJID AR-RAHMAN, KAMPUNG API-API","BATU 40 1/2,KAMPUNG API-API",JOHOR,PONTIAN,,
3314,MASJID PULAI SEBATANG,"KAMPUNG PULAI SEBATANG,KAYU ARA PASONG",JOHOR,PONTIAN,,
3315,MASJID PARIT YUNOS,"PARIT HAJI DAHLAN,KAYU ARA PASONG",JOHOR,PONTIAN,,
3316,MASJID PARIT SAPRAN,"JALAN PARIT HAJI OMAR,KAYU ARA PASONG",JOHOR,PONTIAN,,
3317,MASJID KAMPUNG JAWA HULU,"KAMPUNG JAWA HULU,KAYU ARA PASONG",JOHOR,PONTIAN,,
3318,MASJID PARIT PAK INTAN,"JALAN PARIT SIKOM,KAYU ARA PASONG",JOHOR,PONTIAN,,
3319,"MASJID NURUL IMAN, KAMPUNG MELAYU","KAMPUNG MELAYU,PONTIAN",JOHOR,PONTIAN,,
3320,MASJID KG LINTING,81900 KOTA TINGGI,JOHOR,KOTA TINGGI,,
3321,MASJID PEKAN KAYU ARA PASONG,"PEKAN KAYU ARA PASONG,KAYU ARA PASONG",JOHOR,PONTIAN,,
3322,MASJID PARIT HAJI SIRAJ,"JALAN PARIT HAJI SIRAJ,KAYU ARA PASONG",JOHOR,PONTIAN,,
3323,MASJID JALAN IBRAHIM,"nO 87,JALAN IBRAHIM,PONTIAN",JOHOR,PONTIAN,,
3324,MASJID PARIT SATU SANGLANG,"PARIT SATU SANGLANG, AYER BALOI,",JOHOR,,,
3325,MASJID KAMPUNG PARIT MESJID,"KAMPUNG PARIT MESJID, PONTIAN",JOHOR,PONTIAN,,
3326,MASJID KAMPUNG PARIT SELANGOR,"KAMPUNG PARIT SELANGOR,BATU 32,PEKAN NENAS",JOHOR,PONTIAN,,
3327,MASJID KAMPUNG KAMPUNG PARIT BASILAM,"KAMPUNG PARIT BASILAM,KAYU ARA PASONG",JOHOR,PONTIAN,,
3328,MASJID TANJUNG AYER HITAM,"KAMPUNG TANJUNG AYER HITAM,PONTIAN",JOHOR,PONTIAN,,
3329,MASJID KAMPUNG PARIT ABD RAHMAN,"KAYU ARA PASONG,PONTIAN",JOHOR,PONTIAN,,
3330,MASJID KAMPUNG PARIT KUDUS,"KAMPUNG PARIT KUDUS,PONTIAN",JOHOR,PONTIAN,,
3331,MASJID KAMPUNG PARIT SIKOM HULU,"KAMPUNG PARIT SIKOM HULU, PONTIAN",JOHOR,PONTIAN,,
3332,MASJID KAMPUNG MELAYU RAYA,"NO 55,JALAN REZAB SATU,KAMPUNG MELAYU RAYA,PEKAN NENAS",JOHOR,PONTIAN,,
3333,MASJID KAMPUNG PARIT JAWA,"KAMPUNG PARIT JAWA,KAYU ARA PASONG",JOHOR,PONTIAN,,
3334,MASJID KG MAKAM,81900 KOTA TINGGI,JOHOR,KOTA TINGGI,,
3335,MASJID JAMEK P.U.B,P.U.B. KOLAM AIR 81900 KOTA TINGGI,JOHOR,KOTA TINGGI,,
3336,MASJID KG RANTAU PANJANG,81450 KOTA TINGGI,JOHOR,KOTA TINGGI,,
3337,MASJID FELDA LINGGIU,81900 KOTA TINGGI,JOHOR,KOTA TINGGI,,
3338,MASJID FELDA PENGELI TIMUR,81050 KOTA TINGGI.,JOHOR,KOTA TINGGI,,
3339,MASJID FELDA SG SIBOL,"BANDAR TENGGARA, 81440 KOTA TINGGI",JOHOR,KOTA TINGGI,,
